date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
4/14/20,582594,25023,30628.286,23649,1541,1808.571,1760.089,75.598,92.532,71.447,4.656,5.464
4/15/20,609516,26922,30101,26057,2408,1880.286,1841.423,81.335,90.939,78.721,7.275,5.681
4/16/20,639664,30148,29647.429,30985,4928,2309.714,1932.504,91.081,89.569,93.61,14.888,6.978
4/17/20,671331,31667,29328.286,33284,2299,2370.571,2028.174,95.67,88.604,100.555,6.946,7.162
4/18/20,702164,30833,28657.714,37054,3770,2611,2121.324,93.15,86.579,111.945,11.39,7.888
4/19/20,735086,32922,29305,38910,1856,2614.571,2220.786,99.461,88.534,117.552,5.607,7.899
4/20/20,759687,24601,28873.714,40682,1772,2653.429,2295.109,74.323,87.231,122.905,5.353,8.016
4/21/20,787752,28065,29308.286,42539,1857,2698.571,2379.896,84.788,88.544,128.516,5.61,8.153
4/22/20,825041,37289,30789.286,45063,2524,2715.143,2492.551,112.655,93.018,136.141,7.625,8.203
4/23/20,842629,17588,28995,46784,1721,2257,2545.687,53.136,87.597,141.34,5.199,6.819
4/24/20,869172,26543,28263,49963,3179,2382.714,2625.876,80.19,85.386,150.944,9.604,7.198
4/25/20,890524,21352,26908.571,51017,1054,1994.714,2690.383,64.507,81.294,154.129,3.184,6.026
4/26/20,939053,48529,29138.143,53189,2172,2039.857,2836.995,146.612,88.03,160.691,6.562,6.163
4/27/20,965910,26857,29460.429,54876,1687,2027.714,2918.134,81.138,89.004,165.787,5.097,6.126
4/28/20,988451,22541,28671.286,56245,1369,1958,2986.233,68.099,86.62,169.923,4.136,5.915
4/29/20,1012583,24132,26791.714,58355,2110,1898.857,3059.139,72.906,80.941,176.298,6.375,5.737
4/30/20,1039909,27326,28182.857,60966,2611,2026,3141.694,82.555,85.144,184.186,7.888,6.121
5/1/20,1069826,29917,28664.857,63006,2040,1863.286,3232.077,90.383,86.6,190.349,6.163,5.629
