# Full, machine-readable Table 2 from Stahl et al. 2019
# Photometry of 93 SNe Ia
#
# NULL values are denoted by 99.999
#
# ---------------------------------------------------------------------------------------------------------
SN       MJD       B      EB       V      EV       R      ER       I      EI   CLEAR  ECLEAR   system
 2007bm  54247.19  16.929   0.085  15.333   0.057  99.999  99.999  99.999  99.999  99.999  99.999    kait4
 2007bm  54250.22  17.102   0.076  15.328   0.042  14.814   0.021  14.297   0.023  99.999  99.999    kait4
 2007bm  54253.19  17.379   0.074  15.598   0.026  15.002   0.023  14.409   0.026  99.999  99.999    kait4
 2007bm  54259.20  17.736   0.080  15.998   0.031  15.438   0.032  14.930   0.037  99.999  99.999    kait4
 2007bm  54259.93  17.662   0.045  16.050   0.022  15.467   0.020  99.999  99.999  99.999  99.999  nickel1
 2007bm  54262.20  17.746   0.124  16.134   0.053  15.608   0.045  15.072   0.051  99.999  99.999    kait4
 2007bm  54265.19  17.934   0.167  16.227   0.045  15.719   0.039  15.208   0.049  99.999  99.999    kait4
 2007bm  54266.92  17.770   0.239  16.271   0.035  99.999  99.999  15.271   0.028  99.999  99.999  nickel1
 2007bm  54269.20  17.926   0.147  16.353   0.051  15.863   0.049  15.403   0.086  99.999  99.999    kait4
 2007fb  54285.44  16.025   0.034  15.873   0.026  15.772   0.042  15.866   0.066  99.999  99.999    kait4
 2007fb  54289.39  15.989   0.038  15.812   0.064  15.727   0.083  16.055   0.133  99.999  99.999    kait4
 2007fb  54291.44  16.072   0.029  15.851   0.021  15.719   0.037  16.122   0.071  99.999  99.999    kait4
 2007fb  54293.47  16.210   0.025  15.920   0.025  15.834   0.047  16.282   0.102  99.999  99.999    kait4
 2007fb  54295.45  16.403   0.030  16.034   0.033  16.155   0.087  16.560   0.137  99.999  99.999    kait4
 2007fb  54297.45  16.588   0.026  16.150   0.031  16.224   0.052  16.620   0.093  99.999  99.999    kait4
 2007fb  54301.48  17.104   0.078  16.412   0.029  16.447   0.056  16.642   0.090  99.999  99.999    kait4
 2007fb  54303.45  17.390   0.046  16.496   0.034  16.456   0.054  16.562   0.103  99.999  99.999    kait4
 2007fb  54306.48  17.885   0.051  16.726   0.059  16.475   0.079  16.468   0.132  99.999  99.999    kait4
 2007fb  54308.39  18.035   0.099  16.865   0.078  16.525   0.100  16.384   0.099  99.999  99.999    kait4
 2007fb  54310.37  18.275   0.162  17.034   0.095  16.642   0.128  16.477   0.150  99.999  99.999    kait4
 2007fb  54312.41  18.555   0.129  17.214   0.096  16.763   0.103  16.631   0.178  99.999  99.999    kait4
 2007fb  54317.39  18.795   0.133  17.611   0.082  17.282   0.107  16.972   0.155  99.999  99.999    kait4
 2007fb  54320.39  18.926   0.106  17.759   0.090  17.383   0.110  17.090   0.148  99.999  99.999    kait4
 2007fb  54323.14  18.968   0.076  17.808   0.019  17.463   0.028  17.100   0.022  99.999  99.999  nickel1
 2007fb  54323.41  18.995   0.117  17.840   0.094  17.498   0.115  17.300   0.134  99.999  99.999    kait4
 2007fb  54324.12  19.047   0.088  17.851   0.022  17.501   0.021  17.178   0.030  99.999  99.999  nickel1
 2007fb  54326.38  19.096   0.136  17.946   0.107  17.711   0.198  17.522   0.189  99.999  99.999    kait4
 2007fb  54329.39  19.226   0.183  18.100   0.147  17.737   0.160  17.686   0.195  99.999  99.999    kait4
 2007fb  54332.35  19.230   0.136  18.110   0.112  17.916   0.152  17.817   0.234  99.999  99.999    kait4
 2007fb  54333.07  19.276   0.048  18.149   0.024  17.889   0.036  17.641   0.040  99.999  99.999  nickel1
 2007fb  54335.36  19.434   0.201  18.226   0.127  18.023   0.179  18.037   0.406  99.999  99.999    kait4
 2007fb  54344.14  19.552   0.077  18.423   0.043  18.278   0.059  18.098   0.053  99.999  99.999  nickel1
 2007fb  54345.32  19.302   0.233  18.441   0.142  18.425   0.206  18.481   0.360  99.999  99.999    kait4
 2007fb  54348.40  19.458   0.228  18.747   0.348  18.385   0.448  18.598   0.570  99.999  99.999    kait4
 2007fb  54353.40  19.601   0.240  18.721   0.157  18.704   0.284  18.777   0.408  99.999  99.999    kait4
 2007fb  54357.43  19.721   0.203  18.876   0.173  18.877   0.306  18.955   0.361  99.999  99.999    kait4
 2007fb  54360.30  19.642   0.221  18.876   0.240  18.950   0.301  19.034   0.460  99.999  99.999    kait4
 2007fb  54363.44  19.529   0.292  19.132   0.352  18.719   0.499  99.999  99.999  99.999  99.999    kait4
 2007fb  54366.25  19.955   0.443  19.113   0.434  19.198   0.544  19.478   0.840  99.999  99.999    kait4
 2007fb  54375.33  19.638   0.519  19.301   0.550  19.244   0.677  99.999  99.999  99.999  99.999    kait4
 2007fb  54379.08  20.006   0.111  19.416   0.114  19.419   0.312  99.999  99.999  99.999  99.999  nickel1
 2007fb  54379.30  20.023   0.315  19.492   0.381  19.298   0.485  19.808   0.714  99.999  99.999    kait4
 2007fb  54380.12  19.963   0.081  19.408   0.086  19.465   0.120  19.725   0.308  99.999  99.999  nickel1
 2007fb  54382.26  19.906   0.187  19.440   0.231  19.759   0.424  20.162   0.721  99.999  99.999    kait4
 2007fb  54388.26  20.054   0.209  19.661   0.237  19.710   0.342  20.460   0.589  99.999  99.999    kait4
 2007fs  54297.38  15.325   0.036  15.239   0.018  15.192   0.019  15.677   0.036  99.999  99.999    kait4
 2007fs  54299.38  15.416   0.029  15.247   0.014  15.221   0.016  15.736   0.036  99.999  99.999    kait4
 2007fs  54301.38  15.466   0.030  15.273   0.018  15.318   0.018  15.849   0.037  99.999  99.999    kait4
 2007fs  54303.37  15.669   0.025  15.382   0.015  15.416   0.019  15.974   0.035  99.999  99.999    kait4
 2007fs  54306.39  15.903   0.026  15.528   0.024  15.657   0.022  16.234   0.036  99.999  99.999    kait4
