# Full, machine-readable Table B3 from Stahl et al. 2019
# Natural System Photometry of 93 SNe Ia
#
# NULL values are denoted by 99.999
#
# ---------------------------------------------------------------------------------------------------------
SN       MJD       B      EB       V      EV       R      ER       I      EI   CLEAR  ECLEAR   system
 2007bd  54549.24  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.158   0.449    kait4
 2007bd  54560.20  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.974   0.452    kait4
 2007bd  54570.18  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.738   0.439    kait4
 2007bd  54583.16  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999    kait4
 2007bd  54755.55  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.415   0.516    kait4
 2007bd  54794.50  99.999  99.999  21.136   0.659  99.999  99.999  99.999  99.999  99.999  99.999    kait4
 2007bd  54803.45  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999    kait4
 2007bd  54811.39  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999    kait4
 2007bd  54831.39  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.600   0.552    kait4
 2007bd  54883.29  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.381   0.567    kait4
 2007bd  54910.20  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.243   0.395    kait4
 2007bm  54214.30  15.789   0.016  15.382   0.022  14.984   0.024  14.708   0.024  99.999  99.999    kait3
 2007bm  54216.26  15.354   0.026  14.924   0.024  14.514   0.020  14.297   0.021  99.999  99.999    kait3
 2007bm  54225.26  14.679   0.020  14.191   0.013  13.954   0.007  14.007   0.017  99.999  99.999    kait3
 2007bm  54229.24  14.830   0.012  14.264   0.010  14.008   0.010  14.127   0.015  99.999  99.999    kait3
 2007bm  54231.25  14.964   0.011  14.334   0.011  14.105   0.010  14.220   0.016  99.999  99.999    kait3
 2007bm  54232.00  15.015   0.010  14.374   0.009  14.143   0.010  14.195   0.019  99.999  99.999  nickel1
 2007bm  54233.00  15.112   0.010  14.429   0.007  14.237   0.012  14.266   0.012  99.999  99.999  nickel1
 2007bm  54233.23  15.072   0.012  14.421   0.011  14.240   0.012  14.341   0.020  99.999  99.999    kait4
 2007bm  54235.19  15.277   0.023  14.561   0.013  14.396   0.017  14.430   0.023  99.999  99.999    kait4
 2007bm  54237.21  15.502   0.013  14.703   0.014  14.502   0.014  14.456   0.018  99.999  99.999    kait4
 2007bm  54238.98  15.767   0.014  99.999  99.999  14.541   0.017  14.306   0.011  99.999  99.999  nickel1
 2007bm  54239.19  15.787   0.041  14.832   0.018  14.578   0.023  14.432   0.042  99.999  99.999    kait4
 2007bm  54241.21  16.000   0.025  14.968   0.021  14.615   0.016  14.380   0.023  99.999  99.999    kait4
 2007bm  54243.20  16.239   0.029  15.089   0.015  14.658   0.015  14.342   0.018  99.999  99.999    kait4
 2007bm  54247.19  16.715   0.079  15.414   0.055  99.999  99.999  99.999  99.999  99.999  99.999    kait4
 2007bm  54250.22  16.864   0.068  15.418   0.039  14.869   0.017  14.311   0.018  99.999  99.999    kait4
 2007bm  54253.19  17.140   0.066  15.689   0.021  15.066   0.019  14.426   0.019  99.999  99.999    kait4
 2007bm  54259.20  17.503   0.073  16.087   0.027  15.498   0.027  14.945   0.033  99.999  99.999    kait4
 2007bm  54259.93  17.514   0.039  16.135   0.017  15.519   0.016  99.999  99.999  99.999  99.999  nickel1
 2007bm  54262.20  17.530   0.119  16.216   0.051  15.664   0.039  15.087   0.048  99.999  99.999    kait4
 2007bm  54265.19  17.705   0.162  16.314   0.041  15.773   0.034  15.222   0.046  99.999  99.999    kait4
 2007bm  54266.92  17.632   0.237  16.350   0.029  99.999  99.999  15.227   0.027  99.999  99.999  nickel1
 2007bm  54269.20  17.715   0.142  16.433   0.049  15.915   0.043  15.416   0.084  99.999  99.999    kait4
 2007bm  54898.00  99.999  99.999  20.671   1.052  21.334   1.755  99.999  99.999  99.999  99.999  nickel2
 2007fb  54285.44  16.005   0.033  15.881   0.026  15.783   0.037  15.866   0.065  99.999  99.999    kait4
 2007fb  54288.19  99.999  99.999  15.719   0.011  15.581   0.010  15.804   0.019  99.999  99.999  nickel1
 2007fb  54289.39  15.965   0.036  15.821   0.064  15.736   0.074  16.052   0.131  99.999  99.999    kait4
 2007fb  54291.44  16.042   0.028  15.862   0.021  15.733   0.033  16.118   0.070  99.999  99.999    kait4
 2007fb  54293.47  16.171   0.024  15.935   0.025  15.843   0.042  16.277   0.100  99.999  99.999    kait4
 2007fb  54295.45  16.354   0.028  16.053   0.033  16.142   0.078  16.553   0.135  99.999  99.999    kait4
 2007fb  54297.45  16.529   0.024  16.172   0.031  16.216   0.046  16.613   0.091  99.999  99.999    kait4
 2007fb  54301.48  17.011   0.076  16.447   0.028  16.443   0.050  16.639   0.089  99.999  99.999    kait4
 2007fb  54303.45  17.270   0.042  16.542   0.033  16.460   0.048  16.561   0.102  99.999  99.999    kait4
 2007fb  54306.48  17.730   0.045  16.785   0.058  16.502   0.070  16.472   0.130  99.999  99.999    kait4
 2007fb  54308.39  17.878   0.095  16.925   0.077  16.561   0.089  16.391   0.097  99.999  99.999    kait4
 2007fb  54310.37  18.109   0.158  17.097   0.094  16.684   0.114  16.485   0.148  99.999  99.999    kait4
 2007fb  54312.41  18.375   0.124  17.282   0.095  16.811   0.091  16.639   0.175  99.999  99.999    kait4
 2007fb  54316.16  18.595   0.044  99.999  99.999  17.125   0.020  16.629   0.022  99.999  99.999  nickel1
 2007fb  54317.14  99.999  99.999  99.999  99.999  99.999  99.999  16.699   0.025  99.999  99.999  nickel1
 2007fb  54317.39  18.636   0.129  17.671   0.081  17.317   0.095  16.981   0.153  99.999  99.999    kait4
 2007fb  54320.39  18.770   0.102  17.819   0.089  17.423   0.098  17.099   0.146  99.999  99.999    kait4
 2007fb  54323.14  18.861   0.074  17.869   0.016  17.494   0.025  17.069   0.022  99.999  99.999  nickel1
 2007fb  54323.41  18.840   0.113  17.899   0.093  17.535   0.102  17.308   0.132  99.999  99.999    kait4
 2007fb  54324.12  18.937   0.086  17.914   0.019  17.532   0.018  17.148   0.031  99.999  99.999  nickel1
 2007fb  54326.38  18.942   0.132  18.005   0.106  17.736   0.176  17.528   0.186  99.999  99.999    kait4
 2007fb  54329.39  19.075   0.178  18.157   0.146  17.776   0.142  17.692   0.192  99.999  99.999    kait4
 2007fb  54332.07  99.999  99.999  18.149   0.024  17.852   0.024  17.544   0.042  99.999  99.999  nickel1
 2007fb  54332.35  19.080   0.132  18.167   0.111  17.937   0.135  17.821   0.231  99.999  99.999    kait4
 2007fb  54333.07  19.172   0.045  18.209   0.022  17.912   0.032  17.619   0.041  99.999  99.999  nickel1
 2007fb  54335.36  19.272   0.196  18.288   0.126  18.045   0.159  18.040   0.400  99.999  99.999    kait4
 2007fb  54336.06  19.137   0.231  99.999  99.999  18.038   0.039  17.766   0.059  99.999  99.999  nickel1
 2007fb  54339.99  99.999  99.999  18.390   0.439  18.195   0.093  99.999  99.999  99.999  99.999  nickel1
 2007fb  54344.14  19.448   0.075  18.483   0.042  18.291   0.054  18.084   0.055  99.999  99.999  nickel1
 2007fb  54345.32  19.187   0.228  18.485   0.141  18.427   0.183  18.480   0.355  99.999  99.999    kait4
 2007fb  54348.40  19.363   0.217  18.783   0.347  18.424   0.398  18.600   0.562  99.999  99.999    kait4
 2007fb  54353.40  19.483   0.235  18.766   0.156  18.706   0.253  18.776   0.402  99.999  99.999    kait4
